51.45747,1.25681,-17.97010.07274061
57.97747,5.143463,-13.722350.02359248
63.29959,-4.713497,-22.504540.03878769
46.24398,-4.713499,-13.206920.07531393
61.74481,-4.713498,-22.171380.02416172
51.52713,3.382688,-17.815550.009720225
28.58226,0.5895744,-8.4156230.1127563
54.14016,2.055854,-13.425540.002784669
62.80737,-4.713497,-22.504430.02446054
56.89414,5.637148,-16.792610.0006913393
46.22287,0.1201212,-12.732250.1140228
39.18209,-3.10808,-8.2937520.00307056
54.95161,-4.713498,-17.477870.2313124
53.80591,-4.713498,-17.687970.2288971
53.63065,-4.713498,-17.621120.2028457
47.27718,0.1201217,-15.044620.03500795
54.44894,-4.713499,-17.18210.2293686
49.51865,0.1201212,-16.396180.004739299
49.34531,0.1201212,-12.995210.04441964
49.22757,-3.027126,-11.003880.04387766
41.61784,-4.713504,40.099760.1665893
47.00012,-4.713504,38.312970.1802476
39.2605,0.1201155,47.834410.01237455
38.85578,-4.713504,41.327850.02174679
35.09412,-4.36695,48.482060.01498635
34.33661,0.1201155,43.766750.01864565
45.07736,0.1201155,39.583920.1333629
40.8861,0.1201155,42.311810.04211793
42.73639,-4.713504,39.5510.160504
46.49674,-4.713504,38.390320.1472742
37.83497,-3.928562,44.066750.1081628
41.00144,-4.713504,44.323120.02790682
41.33804,-4.713505,42.890130.09429371
40.0647,-4.713505,44.333370.02584786
40.00351,-4.713504,45.217450.04079948
32.4104,-0.0885644,49.075470.04630186
37.77134,-3.891074,44.353360.08491988
38.72901,-1.326417,47.678340.01567092
39.77008,-4.713504,44.319730.08219286
39.55315,-4.713504,43.50950.04882859
60.06564,-0.691499,-0.195240.008527932
62.48766,-4.713499,-7.2604330.04623609
59.1805,5.13714,2.7408310.03317204
62.61957,-4.713499,-8.1444740.06168612
63.28048,-4.713498,-8.6510490.07577854
61.91388,-4.7135,-2.6263770.01424429
62.25983,-4.713499,-8.0209580.03472297
60.17493,-1.021927,-4.2195890.0113191
55.64716,5.13714,6.2178840.160176
69.33024,-4.713497,-23.16820.01603836
80.65345,8.388123,-13.330356.514605E-08
83.36131,5.637148,-12.36433.356957E-05
70.98609,-4.713497,-22.333470.006570348
73.99403,-0.5687213,18.948350.003479947
67.12946,-4.713497,-25.213460.009247971
66.94995,-4.713497,-25.030770.02965499
82.50977,-1.682789,-3.0431390.03159834
47.10869,-4.713504,36.766320.042535
37.00037,-3.453099,43.373240.08669386
47.10909,13.36448,55.186470.0005210761
42.33232,-0.1603975,46.88160.05552382
55.01653,-4.713503,32.801210.1446248
54.34177,-4.713503,32.593540.1115914
43.02589,5.137136,40.473340.1071374
53.53488,-4.713503,33.420590.09456128
55.36029,-4.713502,32.613140.05770218
51.04248,-4.713504,37.242130.005649628
61.15028,-4.713501,17.82570.04594393
53.82464,5.637141,55.194330.0001274437
