50.35326,9.824499,47.633670.01634656
61.77235,-4.713502,20.476630.0309196
60.80056,-4.713501,18.70040.07743511
61.86201,-4.713502,22.613390.02718039
60.34233,-4.713501,19.072430.1039394
50.91007,-2.096509,47.731220.0001058277
55.84184,-4.713503,33.186690.02136927
61.83623,-4.713502,19.647020.04784721
60.64188,-4.713502,24.348190.05675856
45.96634,11.45908,45.772240.01065617
61.42878,-4.713503,30.082930.04374132
64.80309,6.363166,49.660870.01897578
63.21161,-4.324924,35.190430.00771089
62.41633,-1.25139,49.074620.009561799
60.37048,-4.713502,24.946490.10262
59.97994,-4.713502,25.008990.1085398
54.69754,8.248064,50.348240.05561762
41.1755,-4.713504,40.531640.08815169
45.16608,-4.713503,38.922560.07433014
44.46037,0.1201165,40.104610.1265363
44.99416,-4.713504,39.559280.07777721
36.98464,-4.337125,43.369750.1098517
43.45039,-4.713504,39.542630.144933
44.32231,0.1201155,41.551130.107535
38.53659,-4.713504,41.324330.05579877
39.51561,0.1201165,43.8390.02356066
40.90484,-4.713504,42.371520.1267071
10.4934,2.59914,55.160120.004079143
48.04543,-4.713503,38.397030.07569407
44.57545,0.120116,41.407610.1828573
46.76074,-4.713505,38.065090.1164965
46.3531,-4.713504,38.042950.1026552
33.90762,-4.713505,43.938180.1503878
47.52599,-4.713503,37.752350.137224
32.94514,-4.713505,43.554820.1546906
47.89603,-4.713504,37.351780.1322097
29.77541,-4.713505,48.350420.02795045
40.66173,-4.713504,43.493710.1913568
35.67222,-2.780176,48.354240.01824246
24.59995,-2.298849,50.152630.02619498
33.84128,-4.713505,47.181350.05416078
24.5134,-2.503968,50.542510.05420587
40.05235,-4.713505,44.669710.1040854
39.24896,-4.713504,44.491360.1112166
9.603561,5.421476,57.016850.009396917
22.47078,-4.55007,49.100090.07803646
25.04797,-4.713505,49.208070.02587773
20.82946,5.637138,52.173898.955917E-05
27.00159,-4.713505,46.687160.06390954
26.6394,-4.713505,46.331910.04747236
26.51446,-4.713505,47.862480.02831992
24.45293,-4.713505,46.327660.1752721
25.5378,-4.713505,47.564620.05370025
20.8723,-3.812483,48.745220.09806368
18.07307,5.637137,62.017383.148742E-10
53.87564,-4.713498,-17.549210.3332236
43.56489,-4.713499,-14.710620.05911964
52.43005,-4.713499,-17.329850.3117408
28.6514,1.373087,-8.0852550.1855602
52.2356,0.1201217,-16.235110.09435615
52.68548,-4.713499,-17.27860.2602713
53.96483,-4.713498,-16.870790.2444983
50.65063,0.1201217,-16.069510.08990204
53.78683,-4.713498,-17.544450.3315599
52.04973,0.357044,-16.654840.1689098
20.37896,-0.1915793,48.635690.04757159
37.29276,-4.548336,43.438150.1179778
45.85141,0.1834776,41.78180.08717157
45.30225,0.1201165,38.975960.2642095
46.15402,-4.713504,37.711110.0778539
46.46378,0.120116,38.65850.2264363
44.78111,-4.713504,38.78830.07560202
46.85295,-4.713504,37.786560.09588399
48.0055,-4.713504,37.173660.0840148
40.54962,-0.9007983,47.275780.01648551
54.92959,5.637148,-15.589160.0005374925
63.17934,-4.713498,-22.203450.09943672
57.60419,-4.713498,-20.25260.06812073
56.83594,5.637148,-16.205380.001376823
52.75543,2.069135,-15.090870.02081324
63.69974,-4.713498,-22.56750.04439333
63.69758,-4.713497,-22.258290.0651342
59.55637,-4.713498,-21.345950.03127522
62.54855,-4.713498,-22.28750.0399213
50.33652,0.1201217,-15.324830.04826277
43.33804,-4.713504,42.664670.01236793
56.80921,-4.713502,31.749470.04211335
42.05534,5.137136,43.036960.1940314
53.95454,-2.85479,48.407110.01118433
56.52757,-4.713503,32.523080.04781047
43.79174,5.137136,42.441080.1939406
56.22374,-4.713503,33.079540.03786806
55.31863,-4.713503,33.984330.02329769
57.18436,-4.713503,33.704980.01003612
42.99561,5.637141,50.073380.04885311
