AgentType;TaskName;Distance;Collisions;Collisions_Searching;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z;pos61x;pos61y;pos61z;pos62x;pos62y;pos62z;pos63x;pos63y;pos63z;pos64x;pos64y;pos64z;pos65x;pos65y;pos65z;pos66x;pos66y;pos66z;pos67x;pos67y;pos67z;pos68x;pos68y;pos68z;pos69x;pos69y;pos69z;pos70x;pos70y;pos70z;pos71x;pos71y;pos71z;pos72x;pos72y;pos72z;pos73x;pos73y;pos73z;pos74x;pos74y;pos74z;pos75x;pos75y;pos75z;pos76x;pos76y;pos76z;pos77x;pos77y;pos77z;pos78x;pos78y;pos78z;pos79x;pos79y;pos79z;pos80x;pos80y;pos80z;pos81x;pos81y;pos81z;pos82x;pos82y;pos82z;pos83x;pos83y;pos83z;pos84x;pos84y;pos84z;pos85x;pos85y;pos85z;pos86x;pos86y;pos86z;pos87x;pos87y;pos87z;pos88x;pos88y;pos88z;pos89x;pos89y;pos89z;pos90x;pos90y;pos90z;pos91x;pos91y;pos91z;pos92x;pos92y;pos92z;pos93x;pos93y;pos93z;pos94x;pos94y;pos94z;pos95x;pos95y;pos95z;pos96x;pos96y;pos96z;pos97x;pos97y;pos97z;pos98x;pos98y;pos98z;pos99x;pos99y;pos99z;pos100x;pos100y;pos100z;pos101x;pos101y;pos101z;pos102x;pos102y;pos102z;pos103x;pos103y;pos103z;pos104x;pos104y;pos104z;pos105x;pos105y;pos105z;pos106x;pos106y;pos106z;pos107x;pos107y;pos107z;pos108x;pos108y;pos108z;pos109x;pos109y;pos109z;pos110x;pos110y;pos110z;pos111x;pos111y;pos111z;pos112x;pos112y;pos112z;pos113x;pos113y;pos113z;pos114x;pos114y;pos114z;pos115x;pos115y;pos115z;pos116x;pos116y;pos116z;pos117x;pos117y;pos117z;pos118x;pos118y;pos118z;pos119x;pos119y;pos119z;pos120x;pos120y;pos120z;pos121x;pos121y;pos121z;pos122x;pos122y;pos122z;pos123x;pos123y;pos123z;pos124x;pos124y;pos124z;pos125x;pos125y;pos125z;pos126x;pos126y;pos126z;pos127x;pos127y;pos127z;pos128x;pos128y;pos128z;pos129x;pos129y;pos129z;pos130x;pos130y;pos130z;pos131x;pos131y;pos131z;pos132x;pos132y;pos132z;pos133x;pos133y;pos133z;pos134x;pos134y;pos134z;pos135x;pos135y;pos135z;pos136x;pos136y;pos136z;pos137x;pos137y;pos137z;pos138x;pos138y;pos138z;pos139x;pos139y;pos139z;pos140x;pos140y;pos140z;pos141x;pos141y;pos141z;pos142x;pos142y;pos142z;pos143x;pos143y;pos143z;pos144x;pos144y;pos144z;pos145x;pos145y;pos145z;pos146x;pos146y;pos146z;pos147x;pos147y;pos147z;pos148x;pos148y;pos148z;pos149x;pos149y;pos149z;pos150x;pos150y;pos150z;pos151x;pos151y;pos151z;pos152x;pos152y;pos152z;pos153x;pos153y;pos153z;pos154x;pos154y;pos154z;pos155x;pos155y;pos155z;pos156x;pos156y;pos156z;pos157x;pos157y;pos157z;pos158x;pos158y;pos158z;pos159x;pos159y;pos159z;pos160x;pos160y;pos160z;pos161x;pos161y;pos161z;pos162x;pos162y;pos162z;pos163x;pos163y;pos163z;pos164x;pos164y;pos164z;pos165x;pos165y;pos165z;pos166x;pos166y;pos166z;pos167x;pos167y;pos167z;pos168x;pos168y;pos168z;pos169x;pos169y;pos169z;pos170x;pos170y;pos170z;pos171x;pos171y;pos171z;pos172x;pos172y;pos172z;pos173x;pos173y;pos173z;pos174x;pos174y;pos174z;pos175x;pos175y;pos175z;pos176x;pos176y;pos176z;pos177x;pos177y;pos177z;pos178x;pos178y;pos178z;pos179x;pos179y;pos179z;pos180x;pos180y;pos180z;pos181x;pos181y;pos181z;pos182x;pos182y;pos182z;pos183x;pos183y;pos183z;pos184x;pos184y;pos184z;pos185x;pos185y;pos185z;pos186x;pos186y;pos186z;pos187x;pos187y;pos187z;pos188x;pos188y;pos188z;pos189x;pos189y;pos189z;pos190x;pos190y;pos190z;pos191x;pos191y;pos191z;pos192x;pos192y;pos192z;pos193x;pos193y;pos193z;pos194x;pos194y;pos194z;pos195x;pos195y;pos195z;pos196x;pos196y;pos196z;pos197x;pos197y;pos197z;pos198x;pos198y;pos198z;pos199x;pos199y;pos199z;pos200x;pos200y;pos200z;pos201x;pos201y;pos201z;pos202x;pos202y;pos202z;pos203x;pos203y;pos203z;pos204x;pos204y;pos204z;pos205x;pos205y;pos205z;pos206x;pos206y;pos206z;pos207x;pos207y;pos207z;pos208x;pos208y;pos208z;pos209x;pos209y;pos209z;pos210x;pos210y;pos210z;pos211x;pos211y;pos211z;pos212x;pos212y;pos212z;pos213x;pos213y;pos213z;pos214x;pos214y;pos214z;pos215x;pos215y;pos215z;pos216x;pos216y;pos216z;pos217x;pos217y;pos217z;pos218x;pos218y;pos218z;pos219x;pos219y;pos219z;pos220x;pos220y;pos220z;pos221x;pos221y;pos221z;pos222x;pos222y;pos222z;pos223x;pos223y;pos223z;pos224x;pos224y;pos224z;pos225x;pos225y;pos225z;pos226x;pos226y;pos226z;pos227x;pos227y;pos227z;pos228x;pos228y;pos228z;pos229x;pos229y;pos229z;pos230x;pos230y;pos230z;pos231x;pos231y;pos231z;pos232x;pos232y;pos232z;pos233x;pos233y;pos233z;pos234x;pos234y;pos234z;pos235x;pos235y;pos235z;pos236x;pos236y;pos236z;pos237x;pos237y;pos237z;pos238x;pos238y;pos238z;pos239x;pos239y;pos239z;pos240x;pos240y;pos240z;pos241x;pos241y;pos241z;pos242x;pos242y;pos242z;pos243x;pos243y;pos243z;pos244x;pos244y;pos244z;pos245x;pos245y;pos245z;pos246x;pos246y;pos246z;pos247x;pos247y;pos247z;pos248x;pos248y;pos248z;pos249x;pos249y;pos249z;pos250x;pos250y;pos250z;pos251x;pos251y;pos251z;pos252x;pos252y;pos252z;pos253x;pos253y;pos253z;pos254x;pos254y;pos254z;pos255x;pos255y;pos255z;pos256x;pos256y;pos256z;pos257x;pos257y;pos257z;pos258x;pos258y;pos258z;pos259x;pos259y;pos259z;pos260x;pos260y;pos260z;pos261x;pos261y;pos261z;pos262x;pos262y;pos262z;pos263x;pos263y;pos263z;pos264x;pos264y;pos264z;pos265x;pos265y;pos265z;pos266x;pos266y;pos266z;pos267x;pos267y;pos267z;pos268x;pos268y;pos268z;pos269x;pos269y;pos269z;pos270x;pos270y;pos270z;pos271x;pos271y;pos271z;pos272x;pos272y;pos272z;pos273x;pos273y;pos273z;pos274x;pos274y;pos274z;pos275x;pos275y;pos275z
Searcher;Searching;135.4766;0;5;39.34612;-3.55;0.5047777;-14.63;-3.729273;0.5060959;-14.37021;-3.787667;0.5065253;-14.22899;-3.886485;0.5072519;-13.98947;-4.001359;0.5080966;-13.70148;-4.144591;0.5091497;-13.33222;-4.346705;0.5106359;-12.79955;-4.545812;0.5120999;-12.27192;-4.732249;0.5136265;-11.77786;-4.937706;0.5157154;-11.23341;-5.138362;0.516665;-10.70167;-5.651516;0.516665;-9.341817;-5.997565;0.516665;-8.568079;-6.441339;0.516665;-8.3;-6.760211;0.516665;-8.3;-7.375039;0.516665;-8.3;-8.131885;0.516665;-8.3;-9.003079;0.516665;-8.457304;-9.869499;0.516665;-8.63443;-10.76963;0.516665;-8.818597;-11.67464;0.516665;-9.003765;-12.58819;0.516665;-9.190679;-13.56853;0.516665;-9.391259;-14.08642;0.516665;-9.497221;-15.02482;0.516665;-9.684582;-15.79736;0.516665;-10.00784;-16.06667;0.516665;-10.63481;-16.06667;0.516665;-11.0893;-15.8706;0.516665;-11.26022;-15.42013;0.516665;-11.40004;-14.97846;0.516665;-11.39106;-14.4393;0.516665;-11.30541;-13.52523;0.516665;-11.12502;-12.60961;0.516665;-10.87709;-11.76345;0.516665;-10.62897;-10.9436;0.516665;-10.40462;-10.1242;0.516665;-10.17624;-9.277344;0.516665;-10.11962;-8.503922;0.516665;-10.27782;-7.943821;0.516665;-10.50706;-7.709968;0.516665;-10.64832;-7.522813;0.516665;-10.847;-7.548591;0.516665;-10.94492;-7.810148;0.516665;-11.03686;-8.282013;0.516665;-11.0688;-8.990911;0.516665;-11.03243;-9.763458;0.5510852;-10.96739;-10.54558;1.049998;-10.90123;-11.25511;1.383332;-10.7622;-11.86668;1.722259;-10.73412;-12.48821;2.178132;-10.69829;-12.93475;2.488297;-10.66908;-13.49091;2.726097;-10.63269;-13.95732;2.988169;-10.60217;-14.50794;3.216581;-10.56815;-15.19277;3.209708;-10.46986;-15.69389;3.205169;-10.29163;-16.06667;3.209524;-10.0142;-16.06667;3.216547;-9.60686;-16.50167;3.216665;-9.132742;-16.89481;3.216665;-8.850574;-17.24208;3.216665;-8.682937;-17.62502;3.216035;-8.580111;-17.93201;3.215462;-8.582878;-18.18803;3.21576;-8.664051;-18.38881;3.216665;-8.852375;-18.50998;3.216665;-9.090615;-18.55784;3.216665;-9.401884;-18.52888;3.216665;-9.533334;-18.42767;3.216665;-9.533334;-18.16603;3.263242;-9.704462;-18.02847;3.396854;-9.908505;-17.92256;3.575993;-10.17504;-17.8311;3.722356;-10.59546;-17.77611;3.899998;-11.01595;-17.7391;4.177406;-11.474;-17.70002;4.380527;-11.96616;-17.64428;4.671886;-12.56766;-17.60546;4.923266;-13.02883;-17.55046;5.173112;-13.65922;-17.50367;5.50106;-14.16665;-17.4563;5.729188;-14.64733;-17.3973;5.932367;-15.14815;-17.32897;5.899999;-15.66419;-17.20639;5.899999;-16.12503;-17.03004;5.899999;-16.53205;-16.72292;5.899999;-16.9801;-16.3679;5.899999;-17.03333;-16.14444;5.899999;-17.05985;-15.87481;5.899999;-16.99392;-15.71453;5.899999;-16.8246;-15.61443;5.899999;-16.59234;-15.54495;5.899999;-16.25616;-15.5194;5.899999;-15.81902;-15.54316;5.899999;-15.31745;-15.59343;5.899999;-14.76625;-15.65154;5.899999;-14.13187;-15.70174;5.899999;-13.58389;-15.7622;5.899999;-12.92384;-15.81164;5.899999;-12.38405;-15.86617;5.899999;-11.78883;-15.93131;5.899999;-11.0777;-16.00234;5.906847;-10.21166;-16.0771;5.916665;-9.429998;-16.17317;5.916665;-8.74373;-16.42442;5.916665;-8.3;-16.78006;5.916665;-8.3;-17.18987;5.916665;-8.3;-17.53966;5.916665;-8.3;-17.78759;5.916665;-8.3;-17.88419;5.916665;-8.350722;-17.90093;5.916665;-8.513413;-17.96296;5.915632;-8.606291;-18.11684;5.9156;-8.633646;-18.33479;5.914646;-8.579914;-18.61924;5.916665;-8.413192;-18.84829;5.916665;-8.1637;-18.9889;5.916665;-7.872283;-19.03193;5.916665;-7.545482;-18.90311;5.916665;-7.142101;-18.70548;5.916665;-6.922595;-18.4432;5.916665;-6.778587;-18.14194;5.916665;-6.72369;-17.80739;5.916665;-6.773005;-17.56618;5.916665;-6.899707;-17.37884;5.916665;-7.09216;-17.30007;5.916665;-7.283454;-17.2312;5.916665;-7.445699;-17.38233;5.916665;-7.596783;-17.60909;5.916665;-7.646848;-17.96134;5.916665;-7.545224;-18.1782;5.916665;-7.374742;-18.33522;5.916665;-7.140915;-18.38568;5.916665;-6.953307;-18.3606;5.916665;-6.804526;-18.25049;5.916665;-6.741618;-18.05231;5.916665;-6.834243;-17.87631;5.916665;-7.032068;-17.93;5.916665;-7.25;-17.93;5.916665;-7.25;-17.94312;5.916665;-7.26545;-18.01866;5.916665;-7.35359;-18.16715;5.916665;-7.525706;-18.36819;5.916665;-7.756669;-18.62684;5.916665;-8.058796;-18.90476;5.916665;-8.441016;-19.08947;5.915354;-8.801747;-19.19139;5.916665;-9.129155;-19.20711;5.916665;-9.383227;-19.14113;5.916665;-9.533334;-18.94321;5.916665;-9.533334;-18.74555;5.916665;-9.533334;-18.45674;5.916665;-9.511444;-18.1226;5.916665;-9.403878;-17.73867;5.916665;-9.200911;-17.35941;5.916665;-8.916121;-16.94173;5.916665;-8.474417;-16.63419;5.916665;-8.3;-16.31249;5.916665;-8.3;-16.02238;5.916665;-8.078097;-15.75872;5.916665;-7.949447;-15.54286;5.916665;-7.916138;-15.3948;5.916665;-7.902996;-15.3719;5.916665;-7.894104;-15.44953;5.916665;-7.884571;-15.65127;5.916665;-7.881526;-15.94217;5.916665;-7.913954;-16.22657;5.916665;-8.062082;-16.3;5.916665;-8.3;-16.43763;5.916665;-8.64291;-16.48109;5.916665;-9.114653;-16.39479;5.916665;-9.533334;-16.17476;5.916665;-9.533334;-15.88545;5.91263;-9.861722;-15.65786;5.907969;-10.16526;-15.50058;5.904929;-10.52122;-15.40677;5.903526;-10.96028;-15.3956;5.900908;-11.5077;-15.47615;5.899999;-12.09084;-15.5717;5.899999;-12.67596;-15.66551;5.899999;-13.24983;-15.74815;5.899999;-13.76124;-15.84686;5.899999;-14.37724;-15.9402;5.899999;-14.95319;-16.03617;5.899999;-15.53308;-16.14432;5.899999;-16.03332;-16.32876;5.899999;-16.51747;-16.55002;5.899999;-16.90051;-16.78403;5.899999;-17.03333;-17.02366;5.899999;-17.03333;-17.25135;5.899999;-17.03333;-17.46333;5.899999;-16.98023;-17.64668;5.899999;-16.8051;-17.7922;5.899999;-16.50724;-17.897;5.899999;-16.08971;-17.95205;5.900129;-15.56484;-17.9827;5.847565;-14.99504;-18.00958;5.591094;-14.41613;-18.04137;5.257658;-13.82456;-18.07017;4.960735;-13.17734;-18.0936;4.691024;-12.57732;-18.1221;4.35955;-11.90569;-18.15643;3.997824;-11.16753;-18.2;3.667794;-10.47677;-18.24592;3.295938;-9.745921;-18.3217;3.216665;-9.070772;-18.53171;3.216665;-8.287384;-18.85269;3.216665;-7.506573;-19.04872;3.216665;-6.769605;-19.04783;3.216665;-6.118702;-18.92126;3.216665;-5.805012;-18.69592;3.216665;-5.651678;-18.43438;3.216665;-5.728897;-18.13727;3.216665;-6.052177;-17.89303;3.216665;-6.596361;-17.93;3.216665;-7.25;-17.93;3.216665;-7.25;-17.94361;3.216665;-7.265784;-18.16832;3.216665;-7.523083;-18.57763;3.216665;-8.004489;-19.04589;3.213995;-8.654931;-19.27136;3.216665;-9.231423;-19.23334;3.216665;-9.533334;-19.06868;3.216665;-9.533334;-18.88168;3.216665;-9.533334;-18.45787;3.216665;-9.49858;-17.83355;3.216665;-9.247374;-17.17109;3.216665;-8.753613;-16.64843;3.216665;-8.3;-16.07108;3.216665;-7.995074;-15.5931;3.216665;-7.755553;-15.13177;3.216665;-7.702161;-14.92844;3.216665;-7.717326;-15.02196;3.216665;-7.667627;-15.49558;3.216665;-7.770224;-15.95235;3.216665;-7.883483;-16.23333;3.216665;-8.189187;-16.52823;3.216665;-8.5872;-16.58917;3.216665;-9.062586;-16.40966;3.216665;-9.533334;-15.97787;3.214237;-9.74676;-15.37698;3.209164;-10.08106;-14.63998;3.215851;-10.48936;-13.87585;3.004941;-10.91662;-13.08889;2.579514;-11.16635;-12.24066;2.031933;-11.15113;-11.5337;1.641361;-11.01475;-10.75983;1.134481;-10.85732;-9.992284;0.6898206;-10.70094;-9.218111;0.516665;-10.5571;-8.416206;0.516665;-10.35074;-7.908298;0.516665;-10.13089;-7.596739;0.516665;-9.934216;-7.456212;0.516665;-9.900001;-7.615353;0.516665;-9.900001;-8.002198;0.516665;-9.900897;-8.617273;0.516665;-10;-9.294456;0.516665;-10.20843;-10.19221;0.516665;-10.29431;-11.09417;0.516665;-10.31513;-11.59806;0.5691643;-10.39928;-12.44128;0.516665;-10.70465;-12.91999;0.516665;-10.889;-13.41061;0.516665;-11.07855;-14.31673;0.516665;-11.42379;-14.80169;0.516665;-11.61146;-15.60344;0.516665;-11.99633;-16.06667;0.516665;-12.547;-16.06667;0.516665;-13.13218;-16.06667;0.516665;-13.50002;-15.95139;0.516665;-14.19185;-15.55041;0.516665;-14.91026;-14.88201;0.516665;-15.52595;-13.98583;0.516665;-15.94387;-13.04295;0.516665;-16.12334;-12.48379;0.516665;-16.22432
Searcher;Searching;128.1372;0;13;38.90493;-3.404207;0.5037057;-14.77691;-3.373849;0.5034825;-14.90896;-3.445286;0.5040078;-14.79291;-3.375375;0.5034937;-14.7261;-3.333683;0.5031872;-14.55659;-3.334852;0.5038856;-14.27153;-3.409507;0.5052253;-13.92857;-3.546912;0.5067254;-13.54453;-3.776223;0.5086392;-13.0546;-4.035765;0.5106143;-12.54899;-4.699515;0.515353;-11.25595;-5.098484;0.516665;-10.47018;-5.466698;0.516665;-9.739288;-5.668664;0.516665;-9.289765;-6.10651;0.516665;-8.613383;-6.675614;0.516665;-8.3;-7.341475;0.516665;-8.3;-7.988587;0.516665;-8.255254;-8.783873;0.516665;-8.426046;-9.647408;0.516665;-8.596984;-10.51932;0.516665;-8.773363;-11.49998;0.516665;-8.972364;-12.01804;0.516665;-9.077497;-12.95644;0.516665;-9.267931;-13.91004;0.516665;-9.456675;-15.4905;0.516665;-9.761779;-16.46667;0.516665;-9.533334;-16.87877;0.516665;-9.566668;-17.25807;0.516665;-9.533334;-17.3807;0.516665;-9.554486;-17.38736;0.516665;-9.564502;-17.19436;0.516665;-9.516954;-16.66376;0.516665;-9.439033;-15.92726;0.516665;-9.42468;-15.20217;0.516665;-9.630953;-14.56667;0.516665;-10.05393;-14.34871;0.516665;-10.6498;-13.98256;0.516665;-11.27624;-13.49758;0.516665;-11.46667;-13.15719;0.7490269;-11.6293;-12.52615;0.524231;-11.70837;-11.87491;0.5369238;-11.56211;-11.22301;0.516665;-11.18712;-10.67202;0.516665;-10.61673;-10.28157;0.516665;-9.9;-9.861004;0.516665;-9.900001;-9.346992;0.516665;-9.9;-8.897956;0.516665;-9.900001;-8.651505;0.516665;-10;-8.481404;0.516665;-10.09552;-8.483502;0.516665;-10.22026;-8.599582;0.516665;-10.39609;-8.785826;0.516665;-10.547;-9.103342;0.516665;-10.69003;-9.603065;0.5332054;-10.80279;-10.05306;0.7154917;-10.83704;-10.53572;1.023958;-10.84931;-10.98611;1.239983;-10.85631;-11.58829;1.646105;-10.85741;-12.0802;1.86424;-10.82793;-12.51919;2.22894;-10.78055;-13.04854;2.547997;-10.72339;-13.5568;2.792235;-10.66851;-14.06895;3.090857;-10.61457;-14.64172;3.215314;-10.55204;-15.16011;3.210071;-10.44565;-15.68911;3.206335;-10.22429;-16.06667;3.210614;-9.950959;-16.06667;3.216027;-9.637033;-16.44217;3.216665;-9.156063;-16.75498;3.216665;-8.871233;-17.13749;3.216665;-8.640616;-17.69174;3.216665;-8.46014;-18.17539;3.216665;-8.398704;-18.69204;3.216665;-8.392788;-19.24527;3.216665;-8.386981;-19.90522;3.216665;-8.380054;-20.41005;3.216665;-8.374756;-21.09496;3.216665;-8.367567;-21.64888;3.216665;-8.361754;-22.16585;3.216665;-8.356329;-22.69863;3.216665;-8.350739;-23.23764;3.216665;-8.345081;-23.74438;3.216665;-8.339764;-24.26715;3.216665;-8.334277;-25.03803;3.216665;-8.326958;-25.80425;3.216665;-8.320392;-26.36512;3.216665;-8.314823;-27.14807;3.216665;-8.304921;-27.73575;3.216665;-8.306167;-28.21706;3.216665;-8.300959;-28.6;3.216665;-8.3;-28.6;3.216665;-8.3;-28.6;3.216665;-8.3;-28.6;3.216665;-8.3;-28.59884;3.216665;-8.3;-28.52888;3.216665;-8.3;-28.32399;3.216665;-8.301435;-28.04589;3.216665;-8.312767;-27.6562;3.216665;-8.298066;-27.20787;3.216665;-8.3;-26.83369;3.216665;-8.3;-26.70601;3.216665;-8.3;-26.72195;3.216665;-8.3;-26.93081;3.216665;-8.3;-27.31315;3.216665;-8.3;-27.86045;3.216665;-8.269512;-28.30903;3.216665;-8.3;-28.6;3.216665;-8.3;-28.6;3.216665;-8.3;-28.6;3.216665;-8.354648;-28.54572;3.216665;-8.496049;-28.41376;3.199998;-8.608668;-28.21359;3.199998;-8.647255;-27.95451;3.199998;-8.606853;-27.72103;3.199998;-8.546088;-27.49472;3.216665;-8.386643;-27.30899;3.216665;-8.3;-27.21085;3.216665;-8.299999;-27.22056;3.216665;-8.3;-27.24815;3.216665;-8.408111;-27.3751;3.216665;-8.476038;-27.58802;3.216665;-8.490743;-27.76181;3.216665;-8.421739;-27.87065;3.216665;-8.316466;-27.9032;3.216665;-8.150126;-27.83336;3.216665;-7.883555;-27.63039;3.216665;-7.549952;-27.32374;3.216665;-7.260074;-26.79847;3.216665;-7.000737;-26.42675;3.216665;-6.925286;-26.08175;3.216665;-6.908923;-25.85825;3.216665;-6.930542;-25.70599;3.216665;-6.98114;-25.66822;3.216665;-7.057821;-25.80432;3.216665;-7.162511;-26.03971;3.216665;-7.24418;-26.35575;3.216665;-7.306345;-26.76;3.216665;-7.25;-26.76;3.216665;-7.25;-26.779;3.216665;-7.266177;-26.88005;3.216665;-7.352226;-27.04659;3.216665;-7.495126;-27.28224;3.216665;-7.698322;-27.59683;3.216665;-7.973605;-27.9293;3.216665;-8.320417;-28.18006;3.199998;-8.687248;-28.32251;3.199998;-9.006292;-28.38394;3.199998;-9.33975;-28.33698;3.199998;-9.614155;-28.20977;3.199998;-9.815127;-27.99496;3.199998;-9.967012;-27.77691;3.199998;-9.998254;-27.63334;3.199998;-9.966667;-27.63334;3.199998;-9.966667;-27.65075;3.199998;-9.957962;-27.72931;3.199998;-9.887338;-27.8346;3.199998;-9.704597;-27.8679;3.199998;-9.45762;-27.80482;3.199998;-9.215355;-27.6569;3.199998;-9.028515;-27.39537;3.199998;-8.876184;-27.07405;3.199998;-8.806581;-26.67637;3.199998;-8.805611;-26.16151;3.199998;-8.893831;-25.61426;3.199998;-9.080497;-25.01374;3.203012;-9.326972;-24.50437;3.216665;-9.537553;-23.95153;3.207312;-9.80153;-23.45008;3.21008;-10.18358;-23.2;3.209594;-10.59507;-23.2;3.205782;-11.11346;-23.2;3.201762;-11.66015;-23.1846;3.211571;-12.18409;-23.18863;3.2126;-12.70538;-23.19339;3.212558;-13.26197;-23.19865;3.203003;-13.87531;-23.20679;3.199998;-14.47113;-23.20445;3.199998;-15.064;-23.19928;3.199998;-15.64546;-23.17714;3.199998;-16.15092;-23.07387;3.199998;-16.68259;-22.90457;3.199998;-17.03333;-22.67067;3.199998;-17.03333;-22.41268;3.199998;-17.03333;-22.07182;3.199998;-17.03333;-21.67593;3.199998;-17.03333;-21.2327;3.199998;-16.98331;-20.74008;3.199998;-16.82989;-20.22638;3.199998;-16.57506;-19.68889;3.199998;-16.27869;-19.13171;3.199998;-15.97464;-18.57681;3.199998;-15.67007;-18.02798;3.214753;-15.3601;-17.58509;3.168183;-15.02911;-17.36667;3.009692;-14.63512;-17.36667;2.816665;-14.17675;-17.36667;2.468781;-13.6412;-17.36956;2.198869;-13.04738;-17.41481;2.047108;-12.63976;-17.43906;1.758238;-12.08962;-17.42281;1.433721;-11.36147;-17.4066;1.101749;-10.67194;-17.38675;0.7398612;-9.945683;-17.35181;0.516665;-9.250274;-17.16841;0.516665;-8.658175;-16.8711;0.516665;-8.3;-16.58884;0.516665;-8.3;-16.2418;0.516665;-8.366517;-15.99689;0.516665;-8.640343;-15.80409;0.516665;-9.157727;-15.73983;0.516665;-9.838275;-15.77922;0.516665;-10.72449;-15.81711;0.516665;-11.56382;-15.80473;0.516665;-12.51865;-15.6851;0.516665;-13.12032;-15.6773;0.516665;-13.81134;-15.82662;0.516665;-14.67858;-16.04928;0.516665;-15.59488;-16.33497;0.516665;-16.42651;-16.79227;0.516665;-17.03333;-17.44976;0.516665;-17.03333;-18.14093;0.516665;-17.03333;-18.66186;0.516665;-17.06433;-19.49916;0.516665;-16.97394;-20.43823;0.516665;-16.96161;-21.31878;0.516665;-16.94946;-22.06028;0.516665;-16.98446;-22.66048;0.516665;-17.03333;-22.90655;0.516665;-17.03333;-22.86758;0.516665;-16.99083;-22.58921;0.516665;-17.03333;-22.02236;0.516665;-17.03333;-21.02397;0.516665;-17.03333;-20.41424;0.516665;-17.0309;-19.77552;0.516665;-17.02453;-19.39625;0.516665;-17.01422;-19.26011;0.516665;-17.00033;-19.36963;0.516665;-16.98089;-19.74493;0.516665;-16.96808;-20.35206;0.516665;-16.9732;-21.15589;0.516665;-17.0187;-21.96569;0.516665;-17.03333;-22.57011;0.516665;-17.03333;-22.94062;0.516665;-17.03333;-22.91165;0.516665;-17.00585;-22.75409;0.516665;-17.03333;-22.36345;0.516665;-17.03333;-21.76026;0.516665;-17.03333;-20.91433;0.516665;-17.03333;-20.24179;0.516665;-17.03333;-19.75848;0.516665;-17.03333;-19.49731;0.516665;-17.03333;-19.4962;0.516665;-17.03333;-19.73087;0.516665;-17.03333;-20.21301;0.516665;-17.03333;-20.93264;0.516665;-17.03333;-21.85376;0.516665;-17.029;-22.5761;0.516665;-17.03333;-22.87732;0.516665;-17.03333;-23.18867;0.516665;-17.03333;-23.25624;0.516665;-17.03333;-23.1614;0.516665;-16.99224;-22.89169;0.516665;-17.01462;-22.54729;0.516665;-16.94807;-21.84891;0.516665;-16.95992;-20.93969;0.516665;-17.03333;-20.26999;0.516665;-17.03333;-19.98667;0.516665;-17.03333;-19.69105;0.516665;-17.03333;-19.65626;0.516665;-17.03333;-19.90617;0.516665;-17.03333;-20.46783;0.516665;-17.03333;-21.30752;0.516665;-17.03904;-21.87572;0.516665;-17.03333;NaN;NaN;NaN
