RawDataFileName;Duration;Distance;AverageSpeed;ShortestPathDistance;SurplusShortestPath;RatioShortestPath;Successful;Default;TransparentFX;Ignore Raycast;;Water;UI;Wall;Floor;PatientBed;Window;;;;;;;;;;;;;;;;;;;;;;
Virtual_Reality;32.313;67.917;2.102;41.934;25.983;1.620;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.459;0.540;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_0;38.581;67.178;1.741;41.934;25.244;1.602;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.526;0.471;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_1;37.718;76.840;2.037;41.934;34.906;1.832;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.508;0.491;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_2;61.298;122.850;2.004;41.934;80.917;2.930;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.575;0.422;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_3;67.475;148.064;2.194;41.934;106.131;3.531;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.604;0.396;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
