RawDataFileName;Duration;Distance;AverageSpeed;ShortestPathDistance;SurplusShortestPath;RatioShortestPath;Successful;Default;TransparentFX;Ignore Raycast;;Water;UI;Wall;Floor;PatientBed;Window;;;;;;;;;;;;;;;;;;;;;;
Virtual_Reality_0;7.767;18.827;2.424;19.554;-0.727;0.963;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.774;0.226;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_1;99.104;309.771;3.126;19.554;290.217;15.842;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.174;0.000;0.027;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_17;51.591;265.581;5.148;19.554;246.026;13.582;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.739;0.254;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_2;0.000;0.000;NaN;19.554;-19.554;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.400;0.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_3;84.755;30.590;0.361;19.554;11.036;1.564;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.769;0.231;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_4;37.152;40.161;1.081;19.554;20.607;2.054;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.829;0.171;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Virtual_Reality_5;6.227;1.363;0.219;19.554;-18.191;0.070;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.715;0.285;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor;1.634;0.000;0.000;2.238;-2.238;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_0;10.892;10.128;0.930;2.238;7.890;4.526;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_1;41.911;57.143;1.363;2.238;54.906;25.538;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.667;0.167;0.000;0.167;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_2;12.505;15.231;1.218;2.238;12.993;6.807;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_3;11.981;14.978;1.250;2.238;12.741;6.694;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_4;17.425;21.890;1.256;2.238;19.652;9.783;0.000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor_5;55.437;49.844;0.899;2.238;47.607;22.276;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.737;0.105;0.000;0.158;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Visitor_6;48.890;83.108;1.700;2.238;80.870;37.142;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.907;0.061;0.000;0.032;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
