RawDataFileName;Duration;Distance;AverageSpeed;ShortestPathDistance;SurplusShortestPath;RatioShortestPath;Successful;Default;TransparentFX;Ignore Raycast;;Water;UI;Wall;Floor;PatientBed;Window;;;;;;;;;;;;;;;;;;;;;;
06_CoffeeMachine_NurseStation;43.743;76.827;1.756;25.862;50.965;2.971;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.553;0.447;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
07_CoffeeMachine_NurseStation;15.484;27.373;1.768;25.862;1.512;1.058;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.661;0.339;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
08_CoffeeMachine_NurseStation;28.052;63.380;2.259;25.862;37.519;2.451;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.455;0.544;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
09_CoffeeMachine_NurseStation;53.801;132.655;2.466;25.862;106.794;5.129;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.453;0.547;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
10_CoffeeMachine_NurseStation;45.991;116.141;2.525;25.862;90.280;4.491;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.396;0.603;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
